layer,layerName,stage,sparsity,eval_loss,eval_top1,eval_top5
0,conv1,0,0.0,0.9510 (0.9626),76.1719 (76.0120),93.3594 (92.9340)
layer,layerName,stage,sparsity,eval_loss,eval_top1,eval_top5
0,conv1,0,0.0,0.9865 (0.9626),75.0000 (76.0120),92.5781 (92.9340)
0,conv1,1,0.09999999999999999,0.9500 (0.9626),75.7812 (76.0020),93.3594 (92.9740)
0,conv1,1,0.09999999999999999,0.9848 (0.9626),75.0000 (76.0020),92.9688 (92.9740)
0,conv1,2,0.19999999999999998,0.9471 (0.9630),75.7812 (76.0700),93.3594 (92.9200)
0,conv1,2,0.19999999999999998,0.9808 (0.9630),75.0000 (76.0700),92.5781 (92.9200)
0,conv1,3,0.3,0.9647 (0.9678),75.7812 (75.9080),93.3594 (92.8540)
0,conv1,3,0.3,0.9778 (0.9678),74.6094 (75.9080),92.9688 (92.8540)
0,conv1,4,0.39999999999999997,1.0382 (0.9993),74.6094 (75.3120),92.8571 (92.4400)
0,conv1,4,0.39999999999999997,0.9988 (0.9993),75.3906 (75.3120),92.9688 (92.4400)
0,conv1,5,0.5,1.1358 (1.1044),72.2656 (72.7900),90.6250 (91.0840)
0,conv1,5,0.5,1.0945 (1.1044),72.2656 (72.7900),91.0156 (91.0840)
0,conv1,6,0.6,1.1304 (1.1562),70.7031 (71.7340),90.6250 (90.5440)
0,conv1,6,0.6,1.2008 (1.1562),71.4844 (71.7340),90.2344 (90.5440)
0,conv1,7,0.7000000000000001,1.5691 (1.6060),62.8906 (62.9520),84.7656 (84.5000)
0,conv1,7,0.7000000000000001,1.6033 (1.6060),63.2812 (62.9520),83.9844 (84.5000)
0,conv1,8,0.7999999999999999,2.4070 (2.4438),47.6562 (47.9360),71.8750 (72.2960)
0,conv1,8,0.7999999999999999,2.4659 (2.4438),48.0469 (47.9360),72.6562 (72.2960)
0,conv1,9,0.9,5.9283 (5.9334),12.1094 (12.8480),27.7344 (28.3940)
0,conv1,9,0.9,5.9662 (5.9334),12.1094 (12.8480),27.7344 (28.3940)
1,layer1.0.conv1,1,0.09999999999999999,0.9864 (0.9626),75.0000 (76.0140),92.5781 (92.9340)
1,layer1.0.conv1,1,0.09999999999999999,0.9510 (0.9626),76.1719 (76.0140),93.3594 (92.9340)
1,layer1.0.conv1,2,0.19999999999999998,0.9858 (0.9630),75.0000 (76.0100),92.5781 (92.9260)
1,layer1.0.conv1,2,0.19999999999999998,0.9520 (0.9630),76.1719 (76.0100),93.3594 (92.9260)
1,layer1.0.conv1,3,0.3,0.9588 (0.9642),75.3906 (75.9940),93.3594 (92.9280)
1,layer1.0.conv1,3,0.3,0.9896 (0.9642),74.6094 (75.9940),92.9688 (92.9280)
1,layer1.0.conv1,4,0.39999999999999997,0.9950 (0.9702),75.0000 (75.8720),92.5781 (92.7860)
1,layer1.0.conv1,4,0.39999999999999997,0.9665 (0.9702),75.7812 (75.8720),93.3594 (92.7860)
1,layer1.0.conv1,5,0.5,1.0142 (26424791766915.5938),75.0000 (75.7340),92.5781 (92.7840)
